OTU;Size;regnum;phylum;classis;ordo;familia;genus;RT1;RB1;LT1;LB1;VAG1;BLANK1;CTR1;BLANK2;RT2;RB2;LT2;LB2;VAG2;CTR2;RT3;RB3;LT3;LB3;VAG3;CTR3;BLANK3;RT4;RB4;LT4;LB4;VAG4;RT5;RB5;LT5;LB5;VAG5
Otu0062;1069;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;0;0;0;1;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;28;1012;0;0;0;0;0;0;0;0;0;0
Otu0063;1068;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_7;0;0;0;0;0;0;0;1068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0064;1024;Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0066;986;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;0;0;0;986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0067;923;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;0;0;0;0;0;0;923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0068;918;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;36;0;89;0;1;0;0;192;0;0;0;0;0;0;0;0;0;0;0;24;496;0;0;0;0;0;76;0;0;4;0
Otu0069;906;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;0;0;0;0;0;268;377;0;1;0;1;0;0;19;1;0;0;0;0;11;193;0;0;0;35;0;0;0;0;0;0
Otu0070;905;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobiaceae_unclassified;0;0;0;0;0;0;904;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0071;895;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;893;0;0;0;0;0;0;0;0;0;0
Otu0072;873;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;0;0;1;0;0;687;0;0;0;0;4;15;0;0;0;1;25;0;0;0;0;71;0;0;0;0;69;0;0;0;0
